date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:17	532/532	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:29:21%20GMT	http://icit2015.ximb.ac.in/home/opgc.png?attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/home/opgc.306fb5.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:17	533/533	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:29:22%20GMT	http://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/opgc.png?attachauth=ANoY7crTHiZGLjwkitFNsT9A8QTHQzgjW0z7I9lebybTNesO3kknWCiEI7NOscEGZ6KDlTkdOSgQa0H8RvIUPypUHT2IYoF8CSncHNKDjU4Ey7U2laSIq_0QYSZ5W1VFArWHyCKArrjf0i41BE9Gd1gxD6AcWuescJpS0oueygrhSp0vA6O7YpO3ax5mnENQD3jalYUSS27YbdMKgr3edm_VIF8rFcXUXg%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/opgc.310726.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:18	2048/2048	---M--	200	added ('OK')	image/png	etag:%221450668260990%22	https://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/opgc.png?attachauth=ANoY7crTHiZGLjwkitFNsT9A8QTHQzgjW0z7I9lebybTNesO3kknWCiEI7NOscEGZ6KDlTkdOSgQa0H8RvIUPypUHT2IYoF8CSncHNKDjU4Ey7U2laSIq_0QYSZ5W1VFArWHyCKArrjf0i41BE9Gd1gxD6AcWuescJpS0oueygrhSp0vA6O7YpO3ax5mnENQD3jalYUSS27YbdMKgr3edm_VIF8rFcXUXg%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/opgc0726.png	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:18	539/539	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:29:23%20GMT	http://icit2015.ximb.ac.in/home/Tridentlogo.jpg?attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/home/Tridentlogo.336fb5.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:18	540/540	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:29:23%20GMT	http://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/Tridentlogo.jpg?attachauth=ANoY7cp8fTa180aABYIVEphRj97JR8exxiJgdFxNe0HntsvtuJjzZ6zLt7dDcloCy4lGsZcE18rNRmwxGKAXv1D-t9pHMD7uMyud8AbSWnlzkvYK_Lmuf55cwtJ8zB2UHmhF-wunm4kp2Dmip8at8nq5YX3kJmMDQaPXzPci_HE_vVdqidBBsXiHr_wW2mrSnN6p5oyAsIKEboRVOIKyJD12I2T6MB0mrQ%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/Tridentlogo.349a99.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:19	535/535	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:29:24%20GMT	http://icit2015.ximb.ac.in/home/tatlogo.png?attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/home/tatlogo.366fb5.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:19	536/536	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:29:24%20GMT	http://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/tatlogo.png?attachauth=ANoY7coSH957KqSwkYaYRFF07qhy-C5x1H27ncA7vP-CO59ZQ1Ul6EMbVoTspkCIHMYuhQc6etk3k9Tr0ua1SCtANyzExKbd2xH3Zy_NXW0J2V7RMvkJOvMBUeSrBTtqPkOa-m7EW4EOIEvOgkCgPojanZh8OEef2apJl4XgW72Vt8J9SxQMTGj-cota_asEPvS6dAndB5AKvUtMRfJRgkgzd3Sd-PjQOA%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/tatlogo.3702a0.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:19	5132/5132	---M--	200	added ('OK')	image/jpeg	etag:%221450511109343%22	https://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/Tridentlogo.jpg?attachauth=ANoY7cp8fTa180aABYIVEphRj97JR8exxiJgdFxNe0HntsvtuJjzZ6zLt7dDcloCy4lGsZcE18rNRmwxGKAXv1D-t9pHMD7uMyud8AbSWnlzkvYK_Lmuf55cwtJ8zB2UHmhF-wunm4kp2Dmip8at8nq5YX3kJmMDQaPXzPci_HE_vVdqidBBsXiHr_wW2mrSnN6p5oyAsIKEboRVOIKyJD12I2T6MB0mrQ%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/Tridentlogo9a99.jpg	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:20	535/535	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:29:24%20GMT	http://icit2015.ximb.ac.in/home/silicon.jpg?attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/home/silicon.396fb5.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:20	536/536	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:29:25%20GMT	http://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/silicon.jpg?attachauth=ANoY7crRMAutguguU1H9ge6zZHacjX7wffiwP_7JpouuGdMP70Rkq4pbXssOXkaP_TCJByPSrjaI4jtN2cj1MhfEqWc-HOZx6JyqzFs2rQYBHw39TGIjWHcQwacT0DJR63-S-6-nQuasXtRvDEh0lm1tDkVkuiynCobHCP9x9QjyY7L61m4tNgGVCLGlS48TlZry-3hy7kbqHTS6E21ixAs4YGgkouQpYA%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/silicon.3a5f75.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
